09-19 20:42:32: Training starting...
09-19 20:42:34: New best reward 24.0 (-100.0%) at episode 0, saving model...
09-19 20:42:34: New best reward 29.0 (+20.8%) at episode 5, saving model...
09-19 20:42:34: New best reward 31.0 (+6.9%) at episode 7, saving model...
09-19 20:42:34: New best reward 46.0 (+48.4%) at episode 23, saving model...
09-19 20:42:34: New best reward 59.0 (+28.3%) at episode 51, saving model...
09-19 20:42:35: New best reward 79.0 (+33.9%) at episode 363, saving model...
09-19 20:42:35: New best reward 83.0 (+5.1%) at episode 540, saving model...
09-19 20:42:36: New best reward 86.0 (+3.6%) at episode 682, saving model...
09-19 20:42:36: New best reward 106.0 (+23.3%) at episode 683, saving model...
09-19 20:42:36: New best reward 108.0 (+1.9%) at episode 900, saving model...
09-19 20:42:37: New best reward 111.0 (+2.8%) at episode 1101, saving model...
09-19 20:42:38: New best reward 115.0 (+3.6%) at episode 1319, saving model...
09-19 20:42:38: New best reward 168.0 (+46.1%) at episode 1397, saving model...
09-19 20:42:42: New best reward 173.0 (+3.0%) at episode 2045, saving model...
09-19 20:42:42: New best reward 238.0 (+37.6%) at episode 2070, saving model...
09-19 20:42:46: New best reward 246.0 (+3.4%) at episode 2512, saving model...
09-19 20:42:47: New best reward 322.0 (+30.9%) at episode 2666, saving model...
09-19 20:42:49: New best reward 326.0 (+1.2%) at episode 2842, saving model...
09-19 20:42:51: New best reward 410.0 (+25.8%) at episode 2994, saving model...
09-19 20:42:51: New best reward 436.0 (+6.3%) at episode 3037, saving model...
09-19 20:42:54: New best reward 483.0 (+10.8%) at episode 3170, saving model...
09-19 20:42:55: New best reward 551.0 (+14.1%) at episode 3197, saving model...
09-19 20:42:55: New best reward 566.0 (+2.7%) at episode 3217, saving model...
09-19 20:42:57: New best reward 592.0 (+4.6%) at episode 3272, saving model...
09-19 20:42:59: New best reward 626.0 (+5.7%) at episode 3365, saving model...
09-19 20:43:00: New best reward 649.0 (+3.7%) at episode 3423, saving model...
